incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
District Fire,2023-07-07,Kern,1044.0,34.8866,-118.9033,7,4,Summer,Large
Park Fire,2023-07-09,San Diego,64.0,32.6003,-116.5836,7,6,Summer,Medium
Vineyard Fire,2023-07-09,"Monterey, San Luis Obispo",391.0,35.8,-120.8169,7,6,Summer,Large
Rider Fire,2023-07-11,Riverside,12.0,33.8302,-117.2616,7,1,Summer,Small
Carbon Fire,2023-07-11,Amador,58.0,38.43948,-120.98731,7,1,Summer,Medium
Snake Fire,2023-07-11,Riverside,30.0,33.7505,-117.348,7,1,Summer,Small
Spring Fire,2023-07-11,Riverside,35.0,33.9364,-117.124,7,1,Summer,Small
Liberty Fire,2023-07-11,Amador,71.0,38.2387,-121.0089,7,1,Summer,Medium
Avocado Fire,2023-07-12,Riverside,10.0,33.505725,-117.300098,7,2,Summer,Small
Pulsar Fire,2023-07-13,Riverside,12.0,33.821929,-117.068009,7,3,Summer,Small
Highland Fire,2023-07-14,Riverside,105.0,33.907342,-116.946498,7,4,Summer,Medium
Rabbit Fire,2023-07-14,Riverside,8355.0,33.889467,-117.070916,7,4,Summer,Large
Gavilan Fire,2023-07-15,Riverside,336.0,33.817004,-117.358124,7,5,Summer,Large
Lodoga Fire,2023-07-16,Colusa,22.0,39.2694,-122.466,7,6,Summer,Small
Stony Fire,2023-07-18,Glenn,89.0,39.6685,-122.5259,7,1,Summer,Medium
Juniper Fire,2023-07-18,Fresno,15.0,36.1132,-120.5689,7,1,Summer,Small
Reche Fire,2023-07-14,Riverside,436.0,33.9835,-117.2169,7,4,Summer,Large
Idria Fire,2023-07-19,San Benito,296.0,36.490487,-120.801732,7,2,Summer,Large
Oak Fire,2023-07-19,Riverside,137.0,34.0182,-117.4261,7,2,Summer,Medium
Wonder Fire,2023-07-24,Shasta,162.0,40.7316228,-122.3232056,7,0,Summer,Large
Long Fire,2023-07-25,Fresno,33.0,36.6932792,-119.1521739,7,1,Summer,Small
Victor Fire,2023-07-25,Los Angeles,70.0,34.356691,-118.507954,7,1,Summer,Medium
Agua Fire,2023-07-25,Los Angeles,421.0,34.438333,-118.326389,7,1,Summer,Large
Turkey Fire,2023-07-26,Butte,65.0,39.446994,-121.399989,7,2,Summer,Medium
Bonny Fire,2023-07-27,Riverside,2323.0,33.4769,-116.7247,7,3,Summer,Large
Sunset Fire,2023-07-27,Riverside,103.0,33.9372,-116.9081,7,3,Summer,Medium
Scodie Fire,2023-07-28,Kern,20.0,35.6967,-118.2148,7,4,Summer,Small
Flynn Fire,2023-07-29,Alameda,80.0,37.7356,-121.6065,7,5,Summer,Medium
Shell Fire,2023-07-30,San Luis Obispo,100.0,35.458459,-120.334625,7,6,Summer,Medium
York Fire,2023-08-01,San Bernardino,93078.0,35.191889,-115.317389,8,1,Summer,Large
Haberkern Fire,2023-08-01,Kern,35.0,36.7611111,-119.988888,8,1,Summer,Small
Beale Fire,2023-08-01,Kern,61.0,35.403564,-120.181725,8,1,Summer,Medium
Nuevo Fire,2023-08-01,Riverside,20.0,33.7995,-117.11938,8,1,Summer,Small
RV Fire,2023-08-01,Merced,29.0,36.9648,-120.8839,8,1,Summer,Small
East Fire ,2023-08-01,Kern,1291.0,35.490591,-118.875657,8,1,Summer,Large
